model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
AR(p),all,full,85,8.16414120830415,3.425602273486886,0.54386873844868,,,
AR(p),all,pre_covid,60,2.467168013437737,1.7876481813344074,-0.3503730791017626,,,
AR(p),all,ex_covid,79,3.2051528938021594,2.0024314889165047,-0.0500490776651812,,,
RW,all,full,85,5.461500493074684,2.4020747956523842,-0.5141077576297619,1.176760163129827,0.23929124702694116,36.82521403327491
RW,all,pre_covid,60,2.4584085393838273,1.592518458963741,-0.656571302771205,0.03620444725902159,0.9711193399160457,0.04314546001498777
RW,all,ex_covid,79,2.3281285438049877,1.5656799025267096,-0.4832733784853486,1.0601814529482811,0.289062057195701,4.852822556168823
bridge_combination,1,full,85,7.266770375553193,2.9420422744417305,0.0963799960970629,1.436218345095057,0.15094022047566308,13.84724997811245
bridge_combination,1,pre_covid,60,2.2249355213560915,1.6483321922832572,-0.3717073975281682,1.411921749363331,0.1579730029570483,1.1365799323382075
bridge_combination,1,ex_covid,79,2.3791026890975147,1.8085117884302675,-0.3351446694172289,1.0786020390492885,0.2807651719457519,4.61287546737733
bridge_combination,2,full,85,5.202208166252173,2.099519128863496,0.31322066158970796,1.321354017442792,0.1863833505458118,39.59023186410914
bridge_combination,2,pre_covid,60,1.8919936666975274,1.4408071369287525,-0.4523346613109792,1.6849210291235244,0.09200380873155402,2.5072779717067575
bridge_combination,2,ex_covid,79,1.824172479635349,1.4089722623651009,-0.30648096274712966,1.4798363706262914,0.1389169198248839,6.94539983718938
bridge_combination,3,full,85,5.662252635696156,2.313772214863378,0.005135962217411529,1.3480550982702992,0.17764066182783744,34.59209675868188
bridge_combination,3,pre_covid,60,1.8676135483307943,1.416743769453913,-0.49257760908258913,1.788864922959492,0.07363657209191242,2.5989376406215703
bridge_combination,3,ex_covid,79,1.8180141274504777,1.3934594398955782,-0.38558359078729715,1.4919484545848967,0.13571265869163976,6.967829705038838
dfm,1,full,85,5.302880902204297,3.2711651359689404,2.1293378472481925,1.1122322043840989,0.26603832465669275,38.532655806166886
dfm,1,pre_covid,60,2.845038150606666,2.5053045153747604,2.0848430547489154,-1.0380945114142253,0.29922605646914624,-2.007324071877089
dfm,1,ex_covid,79,2.9035929672735503,2.532434705462399,2.1690572022634003,0.4229978802315053,0.6722968076466225,1.8421529530479364
dfm,2,full,85,5.039139915069812,3.209713819087771,2.182637186704458,1.1243482981904889,0.2608652963013418,41.26027058548015
dfm,2,pre_covid,60,2.7860768437679786,2.461110393581522,2.074465270330301,-0.8022379048131673,0.42241535398550145,-1.675306172849832
dfm,2,ex_covid,79,2.864184937810897,2.513430170518668,2.180842631199431,0.4669734611405435,0.6405188655626854,2.0694497146655473
dfm,3,full,85,5.252350413998252,3.231823301384728,2.1171990312216344,1.1220297232876997,0.2618498022485489,39.066016797702325
dfm,3,pre_covid,60,2.7666459784301813,2.4462169394999034,2.0751295696243988,-0.7265815140551881,0.46748235595609977,-1.5674119634335864
dfm,3,ex_covid,79,2.8322139306308025,2.492618109640597,2.1603927408325014,0.49761068597308933,0.6187584704364126,2.2515693237891785
elasticnet,1,full,85,3.5449187720755155,2.422486040445067,-0.7478295876917349,1.1184341515197518,0.2633816152646812,54.08675256851656
elasticnet,1,pre_covid,60,2.3083286284152065,1.645491220585829,-0.2947611132936148,0.5009697766385877,0.6163923936267703,0.7585369497690827
elasticnet,1,ex_covid,79,2.7809211705236585,2.0346835663832783,-0.3122544102517405,0.555617609226562,0.5784722908954738,2.5394825159816827
elasticnet_covid,1,full,85,3.4976297055849592,2.411660607630117,-0.8352090550763746,1.126723074147075,0.25985958352672334,54.4197881117396
elasticnet_covid,1,pre_covid,60,2.3083286284152065,1.645491220585829,-0.2947611132936148,0.5009697766385877,0.6163923936267703,0.7585369497690827
elasticnet_covid,1,ex_covid,79,2.7144790489973722,2.002196839087892,-0.3490860561571083,0.678525611981247,0.49743849029187726,2.9046085652026807
elasticnet,2,full,85,8.742256239941641,2.7332949665920943,0.5816278290325646,-0.28282352728144505,0.7773121181804716,-9.773842495668658
elasticnet,2,pre_covid,60,2.0577671850661785,1.6639259029455475,-0.5792820561593931,0.9549619643350152,0.33959693209613917,1.8525122185951273
elasticnet,2,ex_covid,79,2.002322702418964,1.6120513741905855,-0.5077493675972806,1.3224839359829639,0.1860070550915689,6.263708868025975
elasticnet_covid,2,full,85,8.72295476136909,2.6239309772047124,0.5216379298638304,-0.2726763805367365,0.7851019925044804,-9.436738099761724
elasticnet_covid,2,pre_covid,60,2.0577671850661785,1.6639259029455475,-0.5792820561593931,0.9549619643350152,0.33959693209613917,1.8525122185951273
elasticnet_covid,2,ex_covid,79,1.9413449889339944,1.5366587038514323,-0.5192188421108028,1.3566068408628693,0.17490616697528938,6.504184706589227
elasticnet,3,full,85,3.108688603932586,1.9932855142419275,-0.525498617931463,1.209311000639111,0.22654338615226088,56.989256832909604
elasticnet,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061,1.2373135065911363,0.21597071543813506,2.477103455627899
elasticnet,3,ex_covid,79,2.0354197499888556,1.583525159584879,-0.5946505189108243,1.418396828710803,0.15607494097864547,6.130071514003665
elasticnet_covid,3,full,85,3.062052499509563,1.9060922492510786,-0.598561872375049,1.2101586004687834,0.22621804050642547,57.27703615937719
elasticnet_covid,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061,1.2373135065911363,0.21597071543813506,2.477103455627899
elasticnet_covid,3,ex_covid,79,2.0112446441647713,1.5278830676028001,-0.6232842810772409,1.426161946975026,0.15382160094348823,6.227900053966882
lasso,1,full,85,3.590750728341486,2.4514637826714716,-0.7739286042702855,1.1154487904004884,0.2646581514850094,53.759710876045034
lasso,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134,0.42216989580053627,0.6729010131658724,0.5269706835772072
lasso,1,ex_covid,79,2.806981411444961,2.0584119001200953,-0.3339701546551851,0.5289233962679414,0.5968585911726234,2.3938604284508105
lasso_covid,1,full,85,3.5555197869383237,2.445601262966699,-0.8630349392507971,1.1231303025650308,0.2613821580937521,54.01148071381999
lasso_covid,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134,0.42216989580053627,0.6729010131658724,0.5269706835772072
lasso_covid,1,ex_covid,79,2.7445841932984405,2.0282168773693243,-0.3686455805277376,0.6475058639359208,0.5173046005925511,2.7402626785447084
lasso,2,full,85,8.929722535982242,2.7659500807424684,0.5911350762731955,-0.35735015984309226,0.7208296833877441,-13.086742900499182
lasso,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso,2,ex_covid,79,2.0907981107021962,1.6252497899056333,-0.5170444238242664,1.2664944541698195,0.20533611369237337,5.901568332932483
lasso_covid,2,full,85,8.909134805137219,2.6530460010866737,0.5289015495283502,-0.34693663006370223,0.7286389269563123,-12.719481306977464
lasso_covid,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso_covid,2,ex_covid,79,2.030411608689326,1.5474450752210993,-0.5304248310517004,1.303009447119403,0.19257153632369384,6.150433771947981
lasso,3,full,85,4.381266335129734,2.2565332342645488,-0.74099105740721,1.1910342688768072,0.2336401321069952,47.4577069697888
lasso,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso,3,ex_covid,79,2.1605358032886235,1.647371140461338,-0.6076689682728393,1.336407416818342,0.18141614341523093,5.605090115356341
lasso_covid,3,full,85,4.346439515443924,2.168437260574242,-0.8163156076259516,1.1917862999328863,0.23334504899701114,47.76166520771751
lasso_covid,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso_covid,3,ex_covid,79,2.138106577858561,1.5910037885482105,-0.6381974689564374,1.3456244220064764,0.17842367144116844,5.70150533436631
midas_combination,1,full,85,5.210032098056815,2.383233906007256,-0.1924048145078936,1.250995361441436,0.21093616978428964,39.50876720634763
midas_combination,1,pre_covid,60,2.105976961269239,1.502855449834684,-0.4367523988521296,1.6602235820210676,0.09686948227251646,1.6517790451334926
midas_combination,1,ex_covid,79,2.148181472317111,1.5789195381683503,-0.3935017245826993,1.298928594029005,0.1939684356157908,5.658321434641846
midas_combination,2,full,85,5.0283039300002725,2.09326459944791,0.20343186084664028,1.3041421113054437,0.19218513303935347,41.369361256673734
midas_combination,2,pre_covid,60,1.9291541432425938,1.4734431005128372,-0.519484250511359,1.6783501034404351,0.09327877224964722,2.3652822981402446
midas_combination,2,ex_covid,79,1.8544797169107892,1.4406112724484648,-0.3846885868848383,1.4590047195511262,0.14456380871154206,6.833910052214837
midas_combination,3,full,85,6.272946979006167,2.483573506987078,-0.2606157795866413,1.3265889916787739,0.1846446793212484,27.30333786770735
midas_combination,3,pre_covid,60,1.9270110637277533,1.4399332422295081,-0.5664630862657211,1.699776806919015,0.08917291568904928,2.373546366801144
midas_combination,3,ex_covid,79,1.8764621452819377,1.4259783212263026,-0.45325284641164415,1.4643685954094539,0.1430932639927464,6.7518948899722675
